Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
2003-present,Oil,Nov,0.048,0.1323,0.0844,0.8373,0.4024
2003-present,Banks,Nov,0.0386,0.1416,0.1029,1.0666,0.2861
2003-present,Txtls,Nov,0.0349,0.1172,0.0823,0.8292,0.407
2003-present,Toys,Nov,0.0232,0.1236,0.1004,1.082,0.2792
2003-present,Rtail,Nov,0.0493,0.1377,0.0884,1.3659,0.172
2003-present,Oil,Dec,0.0567,0.0317,-0.025,-0.3356,0.7372
2003-present,Banks,Dec,0.0448,0.0692,0.0244,0.3087,0.7576
2003-present,Txtls,Dec,0.0374,0.0862,0.0488,0.5965,0.5508
2003-present,Toys,Dec,0.0375,-0.0402,-0.0777,-1.0758,0.282
2003-present,Rtail,Dec,0.0615,-0.0019,-0.0634,-1.2265,0.22
