Date,Oil,Banks,Txtls,Toys,Rtail,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
1975-04-01,6.98,1.91,9.29,10.68,0.88,4.22,-0.69,-1.13,1.39,-1.37,0.44,1.52
1975-05-01,11.84,5.65,3.68,0.37,4.54,5.2,2.98,-4.05,-1.13,-0.56,0.44,-0.58
1975-06-01,6.72,7.61,6.72,4.62,7.76,4.87,1.33,1.35,-2.7,1.07,0.41,-0.05
1975-07-01,-4.27,-6.72,-3.46,-6.1,-8.18,-6.6,3.4,1.76,0.46,1.24,0.48,0.35
1975-08-01,-0.81,-8.24,-2.66,-4.56,0.53,-2.84,-2.77,-0.91,1.1,-0.99,0.48,-0.16
1975-09-01,-1.22,-10.77,-0.44,-5.35,-3.63,-4.26,-0.02,0.33,0.57,0.57,0.53,0.4
1975-10-01,-1.05,3.53,8.53,-0.91,10.61,5.32,-4.25,0.35,-0.5,2.28,0.56,-0.22
1975-11-01,-1.77,4.9,4.51,6.31,4.42,2.65,-1.1,2.03,-0.66,1.74,0.41,-0.5
1975-12-01,0.03,0.76,-1.04,-2.82,-3.76,-1.6,-0.16,1.7,-0.11,0.77,0.48,-0.1
1976-01-01,8.21,13.19,20.26,23.31,7.91,12.16,6.39,8.63,-1.75,2.33,0.47,4.39
1976-02-01,-3.3,-1.49,4.28,5.72,4.37,0.32,7.91,5.71,-2.53,3.7,0.34,0.38
1976-03-01,7.48,5.22,0.81,-2.13,4.32,2.32,-1.38,-0.11,-0.38,0.99,0.4,0.23
1976-04-01,1.93,-3.01,-4.15,3.78,-5.18,-1.48,0.1,-0.16,0.45,-1.05,0.42,0.53
1976-05-01,5.46,-1.23,-5.29,0.7,-6.39,-1.35,-1.09,-1.29,2.43,-1.39,0.37,-1.06
1976-06-01,5.1,7.77,0.66,3.87,0.79,4.05,-1.07,0.73,-0.66,1.02,0.43,-0.44
1976-07-01,-0.46,-0.45,-1.67,1.4,-1.68,-1.06,0.61,1.74,-1.03,0.3,0.47,-0.15
1976-08-01,-0.7,-1.89,-2.7,-5.46,4.73,-0.57,-2.02,0.79,-0.4,-0.57,0.42,-0.78
1976-09-01,5.89,-1.54,-0.64,-0.11,0.37,2.04,0.2,-0.31,0.98,-1.14,0.44,0.2
1976-10-01,-2.38,0.76,-1.02,-3.64,-0.23,-2.42,0.05,-0.17,-0.19,-0.37,0.41,-0.42
1976-11-01,0.83,0.32,5.29,0.18,5.53,0.37,2.7,1.53,-1.31,0.07,0.4,2.81
1976-12-01,6.32,11.11,5.3,9.81,1.6,5.65,3.6,2.23,-0.72,2.41,0.4,0.75
1977-01-01,0.32,-5.12,-1.14,-6.75,-7.43,-4.04,5.91,4.32,-0.54,1.93,0.36,4.05
1977-02-01,-3.15,-2.32,-4.64,-4.9,-1.56,-1.94,1.05,0.45,-0.21,-0.19,0.35,0.35
1977-03-01,-2.14,-0.8,-1.01,-0.15,-3.06,-1.35,1.29,1.09,-0.32,-0.11,0.38,0.68
1977-04-01,2.67,-0.1,2.15,-4.94,-4.01,0.15,0.6,3.38,-1.98,1.04,0.38,4.19
1977-05-01,-0.21,-2.8,-4.4,-6.26,-3.74,-1.47,1.37,0.81,0.43,0.22,0.37,2.01
1977-06-01,6.01,5.93,5.45,4.03,5.87,4.72,2.1,-0.62,0.91,-1.27,0.4,1.6
1977-07-01,-1.66,1.14,-1.42,2.9,0.15,-1.69,1.81,-0.6,0.76,0.12,0.42,0.4
1977-08-01,-5.86,-0.66,-1.28,-2.85,4.94,-1.76,0.93,-2.77,1.03,-0.67,0.44,-1.63
1977-09-01,0.76,-0.89,0.01,-1.82,-1.26,-0.27,1.62,-0.26,0.91,-0.65,0.43,2.09
